datescrap,marketplace,cat1_id,cat2_id,cat3_id,cat1,cat2,cat3
2023-05-31,Tokopedia,983,3439,3468,Dapur,Aksesoris Dapur,Chopper
2023-05-31,Tokopedia,983,908,952,Dapur,Peralatan Masak,Teko & Pemanas Air
2023-05-31,Tokopedia,983,908,949,Dapur,Peralatan Masak,Wajan
2023-05-31,Tokopedia,983,1223,1534,Dapur,Penyimpanan Makanan,Sealer Makanan
2023-05-31,Tokopedia,983,1223,1226,Dapur,Penyimpanan Makanan,Tempat Buah & Sayur
2023-05-31,Tokopedia,983,3440,3487,Dapur,Alat Masak Khusus,Ice Cream & Yogurt Maker
2023-05-31,Tokopedia,983,3440,3488,Dapur,Alat Masak Khusus,Mesin Es Serut
2023-05-31,Tokopedia,983,911,3510,Dapur,Peralatan Makan & Minum,Sendok & Garpu Dessert
2023-05-31,Tokopedia,983,911,968,Dapur,Peralatan Makan & Minum,Sendok & Garpu Makan
2023-05-31,Tokopedia,60,560,3933,Elektronik,Telepon,Kabel & Konektor Telepon
2023-05-31,Tokopedia,60,560,571,Elektronik,Telepon,Telepon Kabel
2023-05-31,Tokopedia,60,655,661,Elektronik,TV & Aksesoris,Antena TV & Parabola
2023-05-31,Tokopedia,60,655,660,Elektronik,TV & Aksesoris,Bracket TV
2023-05-31,Tokopedia,983,1215,3524,Dapur,Bekal,Lunch Box Set
2023-05-31,Tokopedia,983,1215,1220,Dapur,Bekal,Partisi Bento
2023-05-31,Tokopedia,983,5395,5396,Dapur,Kemasan Makanan dan Minuman,Paper Box
2023-05-31,Tokopedia,983,5395,5397,Dapur,Kemasan Makanan dan Minuman,Paper Rice Bowl
2023-05-31,Tokopedia,983,3439,3469,Dapur,Aksesoris Dapur,Grinder
2023-05-31,Tokopedia,983,3439,3465,Dapur,Aksesoris Dapur,Gunting Dapur
2023-05-31,Tokopedia,983,1223,932,Dapur,Penyimpanan Makanan,Tempat Bumbu
2023-05-31,Tokopedia,983,1223,1225,Dapur,Penyimpanan Makanan,Tempat Roti
2023-05-31,Tokopedia,983,3440,3493,Dapur,Alat Masak Khusus,Mesin Sostel
2023-05-31,Tokopedia,983,3440,3482,Dapur,Alat Masak Khusus,Noodle & Pasta Maker
2023-05-31,Tokopedia,60,3884,3992,Elektronik,Printer,Printer All in One
2023-05-31,Tokopedia,60,3884,4007,Elektronik,Printer,Printer Barcode
2023-05-31,Tokopedia,60,27,3928,Elektronik,Media Player,Blu Ray Player
2023-05-31,Tokopedia,60,27,568,Elektronik,Media Player,DVD Player
2023-05-31,Tokopedia,983,911,3511,Dapur,Peralatan Makan & Minum,Sendok Bebek
2023-05-31,Tokopedia,983,911,3513,Dapur,Peralatan Makan & Minum,Sendok Sayur & Kuah
2023-05-31,Tokopedia,60,560,666,Elektronik,Telepon,Telepon Satelit
2023-05-31,Tokopedia,60,560,572,Elektronik,Telepon,Telepon Wireless
2023-05-31,Tokopedia,60,655,662,Elektronik,TV & Aksesoris,Kabel & Konektor
2023-05-31,Tokopedia,60,655,3919,Elektronik,TV & Aksesoris,Penguat Sinyal TV
2023-05-31,Tokopedia,983,1215,3519,Dapur,Bekal,Rantang
2023-05-31,Tokopedia,983,1215,1216,Dapur,Bekal,Tas Bekal
2023-05-31,Tokopedia,983,5395,5401,Dapur,Kemasan Makanan dan Minuman,Thinwall
2023-05-31,Tokopedia,983,3439,3477,Dapur,Aksesoris Dapur,Korek Kompor
2023-05-31,Tokopedia,983,3439,3479,Dapur,Aksesoris Dapur,Magnet Kulkas
2023-05-31,Tokopedia,983,1223,1224,Dapur,Penyimpanan Makanan,Tempat Saos & Kecap
2023-05-31,Tokopedia,983,1223,1036,Dapur,Penyimpanan Makanan,Toples Makanan
2023-05-31,Tokopedia,983,3440,3490,Dapur,Alat Masak Khusus,Pancake Maker
2023-05-31,Tokopedia,983,3440,3483,Dapur,Alat Masak Khusus,Popcorn Maker
2023-05-31,Tokopedia,60,3884,3994,Elektronik,Printer,Printer Dot Matrix
2023-05-31,Tokopedia,60,3884,3996,Elektronik,Printer,Printer Ink Jet
2023-05-31,Tokopedia,60,27,566,Elektronik,Media Player,MP3 & MP4 Player
2023-05-31,Tokopedia,60,27,3930,Elektronik,Media Player,Radio & Tape Player
2023-05-31,Tokopedia,983,911,969,Dapur,Peralatan Makan & Minum,Sumpit
2023-05-31,Tokopedia,983,911,3512,Dapur,Peralatan Makan & Minum,Sumpit Makan
2023-05-31,Tokopedia,60,989,1024,Elektronik,Lampu,Bohlam
2023-05-31,Tokopedia,60,989,3972,Elektronik,Lampu,Fitting Lampu
2023-05-31,Tokopedia,60,560,3932,Elektronik,Telepon,Walkie Talkie
